model,language,framework,repo_url,success,execution_time_seconds,valid_openapi,files_processed,error,expected_paths_count,generated_paths_count,path_match_count,path_recall,path_precision,expected_methods_count,generated_methods_count,method_match_count,method_recall,method_precision
llama3,typescript,Express & Firestore,https://github.com/marcusmonteirodesouza/typescript-firestore-terraform-realworld-backend,False,5.8,False,27,Pipeline completed but swagger.json not found at output/typescript-firestore-terraform-realworld-backend/swagger.json,,,,,,,,,,
llama3,typescript,Express + Knex.js + AWS Lambda,https://github.com/kenyipp/realworld-nodejs-example-app,False,8.77,False,145,Pipeline completed but swagger.json not found at output/realworld-nodejs-example-app/swagger.json,,,,,,,,,,
llama3,typescript,Express + PostgreSQL + Drizzle + Docker,https://github.com/AhmedFawzy31/realworld-express-postgresql-drizzle,False,2.88,False,43,Pipeline completed but swagger.json not found at output/realworld-express-postgresql-drizzle/swagger.json,,,,,,,,,,
llama3,typescript,Neo4j + NestJS,https://github.com/neo4j-examples/nestjs-neo4j-realworld-example,True,247.37,False,31,,12.0,8.0,7.0,0.5833,0.875,19.0,13.0,12.0,0.6316,0.9231
llama3,typescript,NestJS + MikroORM,https://github.com/mikro-orm/nestjs-realworld-example-app,True,355.65,False,37,,12.0,14.0,12.0,1.0,0.8571,19.0,20.0,18.0,0.9474,0.9
llama3,typescript,NestJS + TypeORM,https://github.com/lujakob/nestjs-realworld-example-app,True,388.3,False,35,,12.0,14.0,12.0,1.0,0.8571,19.0,20.0,18.0,0.9474,0.9
llama3,typescript,Nitro + Prisma + Zod,https://github.com/realworld-apps/nitro-prisma-zod-realworld-example-app,False,4.19,False,43,Pipeline completed but swagger.json not found at output/nitro-prisma-zod-realworld-example-app/swagger.json,,,,,,,,,,
llama3,Java,Spring Boot + MyBatis,https://github.com/joyheros/realworld,True,336.88,False,83,,12.0,13.0,10.0,0.8333,0.7692,19.0,19.0,16.0,0.8421,0.8421
llama3,Java,Spring Boot + Spring Data JDBC,https://github.com/alexey-lapin/realworld-backend-spring,False,5.14,False,174,Pipeline completed but swagger.json not found at output/realworld-backend-spring/swagger.json,,,,,,,,,,
llama3,Java,Spring Boot + Spring Data JPA + DDD,https://github.com/borovikovd/realworld-backend-spring-ddd,False,1.46,False,36,Pipeline completed but swagger.json not found at output/realworld-backend-spring-ddd/swagger.json,,,,,,,,,,
llama3,Java,Spring Boot + Spring Data JPA + PostgreSQL,https://github.com/marcusmonteirodesouza/realworld-backend-spring-boot-java-keycloak-postgresql,True,503.44,False,45,,12.0,19.0,9.0,0.75,0.4737,19.0,29.0,15.0,0.7895,0.5172
llama3,Java,Spring Boot + WebFlux + MongoDB,https://github.com/a-mountain/realworld-spring-webflux,True,475.64,False,66,,12.0,26.0,9.0,0.75,0.3462,19.0,39.0,15.0,0.7895,0.3846
llama3,C#,.NET + Minimal API,https://github.com/Erikvdv/realworldapiminimal,False,2.36,False,42,Pipeline completed but swagger.json not found at output/realworldapiminimal/swagger.json,,,,,,,,,,
llama3,C#,ASP.NET Core,https://github.com/gothinkster/aspnetcore-realworld-example-app,False,2.96,False,64,Pipeline completed but swagger.json not found at output/aspnetcore-realworld-example-app/swagger.json,,,,,,,,,,
llama3,C#,ASP.NET Core + Couchbase,https://github.com/mgroves/realworld-aspnet-couchbase,False,36.14,False,0,"The following component failed to run:
Component name: 'files_analyzer'
Component type: 'FilesAnalyzer'
Error: Extra data: line 16 column 1 (char 314)",,,,,,,,,,
llama3,C#,ASP.NET Core + Microservices,https://github.com/profjordanov/realworld-microservices,True,821.22,False,73,,12.0,27.0,9.0,0.75,0.3333,19.0,40.0,15.0,0.7895,0.375
